"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"Positive Regulation Of Pattern Recognition Receptor Signaling Pathway (GO:0062208)","4/39",0.00254079964157703,0.0376650020941187,0,0,7.72508591065292,46.1595237460328,"RSAD2;PTPN22;DDX60;OASL"
"Positive Regulation Of T Cell Proliferation (GO:0042102)","5/65",0.00270734501602703,0.0397656822996264,0,0,5.64511494252874,33.3727161326466,"CD86;PTPRC;CD6;CD80;IL12RB1"
"Lipopolysaccharide-Mediated Signaling Pathway (GO:0031663)","3/20",0.00300656300942409,0.0427956710884057,0,0,11.8984689766317,69.0939061607063,"TGFB1;CD6;PTPN22"
"Positive Regulation Of Antigen Receptor-Mediated Signaling Pathway (GO:0050857)","3/20",0.00300656300942409,0.0427956710884057,0,0,11.8984689766317,69.0939061607063,"PTPRC;TRAT1;CARD11"
"Cellular Response To Interleukin-9 (GO:0071355)","2/6",0.00312747877410585,0.0427956710884057,0,0,33.6194539249147,193.901145302746,"STAT1;IL9R"
"Interleukin-9-Mediated Signaling Pathway (GO:0038113)","2/6",0.00312747877410585,0.0427956710884057,0,0,33.6194539249147,193.901145302746,"STAT1;IL9R"
"Macrophage Derived Foam Cell Differentiation (GO:0010742)","2/6",0.00312747877410585,0.0427956710884057,0,0,33.6194539249147,193.901145302746,"TGFB1;STAT1"
"Negative Regulation Of p38MAPK Cascade (GO:1903753)","2/6",0.00312747877410585,0.0427956710884057,0,0,33.6194539249147,193.901145302746,"PTPN22;EZR"
"Positive Regulation Of Receptor Catabolic Process (GO:2000646)","2/6",0.00312747877410585,0.0427956710884057,0,0,33.6194539249147,193.901145302746,"DTX3L;LAPTM5"
"Regulation Of Antigen Receptor-Mediated Signaling Pathway (GO:0050854)","2/6",0.00312747877410585,0.0427956710884057,0,0,33.6194539249147,193.901145302746,"PTPRC;PTPN22"
"Negative Regulation Of Biomineral Tissue Development (GO:0070168)","3/21",0.0034697110941099,0.0464848260481531,0,0,11.2368721461187,63.6420923847683,"CCR1;TGFB1;ASPN"
"Positive Regulation Of Interferon-Alpha Production (GO:0032727)","3/21",0.0034697110941099,0.0464848260481531,0,0,11.2368721461187,63.6420923847683,"STAT1;IRF7;TLR7"
"Regulation Of ERK1 And ERK2 Cascade (GO:0070372)","10/244",0.00348418433839999,0.0464848260481531,0,0,2.91962813015445,16.5236976239809,"CCR1;SEMA7A;CCL11;CCL22;TGFB1;PTPRC;F2R;FN1;PTPN22;EZR"
"Neutrophil Chemotaxis (GO:0030593)","5/70",0.00373777039645021,0.0494559537579899,0,0,5.20954907161804,29.117555480519,"CXCL10;CXCL9;CXCL11;CCL11;CCL22"
"Lymphocyte Chemotaxis (GO:0048247)","4/44",0.00395906250062324,0.0515321875081122,0,0,6.75773195876289,37.3820704096791,"CXCL10;CXCL11;CCL11;CCL22"
"Positive Regulation Of Osteoblast Differentiation (GO:0045669)","4/44",0.00395906250062324,0.0515321875081122,0,0,6.75773195876289,37.3820704096791,"WNT7B;CCN4;SOX11;RUNX2"
"Natural Killer Cell Activation (GO:0030101)","4/45",0.00429568766218006,0.0546598462456946,0,0,6.59257396697678,35.9304750032008,"CD2;FCGR3A;PTPRC;IL21R"
"Regulation Of Myeloid Leukocyte Differentiation (GO:0002761)","2/7",0.0043359153486591,0.0546598462456946,0,0,26.8941979522184,146.326558358414,"CAMK4;IRF7"
"Regulation Of Stem Cell Division (GO:2000035)","2/7",0.0043359153486591,0.0546598462456946,0,0,26.8941979522184,146.326558358414,"SFRP2;EVI2B"
"Foam Cell Differentiation (GO:0090077)","2/7",0.0043359153486591,0.0546598462456946,0,0,26.8941979522184,146.326558358414,"TGFB1;STAT1"
"Granulocyte Chemotaxis (GO:0071621)","5/73",0.00447622562705477,0.055987790850896,0,0,4.97895537525355,26.9310455572132,"CXCL10;CXCL9;CXCL11;CCL11;CCL22"
"Regulation Of Interleukin-4 Production (GO:0032673)","3/23",0.00452088183727405,0.0561079986160911,0,0,10.1121575342466,54.5960260084716,"CD86;LEF1;FOXP3"
"Antiviral Innate Immune Response (GO:0140374)","4/46",0.00465109801635653,0.0572800609552831,0,0,6.43528064146621,34.5616525561849,"CXCL10;OAS1;MX1;IFIT1"
"Positive Regulation Of T Cell Activation (GO:0050870)","6/107",0.00510096336373026,0.0619896570191166,0,0,4.02973722977834,21.2702662379751,"CD86;PTPRC;CD6;CD80;SIRPG;RHOH"
"Positive Regulation Of Vascular Endothelial Growth Factor Production (GO:0010575)","3/24",0.00511095235885284,0.0619896570191166,0,0,9.63013698630137,50.8121612731078,"TGFB1;SULF1;SULF2"
